id;type;level;summary;time;turns
0;Dare;2;I dare you to Stand up for 2 turns;;2
1;Dare;2;Csinálj 10 fekvőtámasz-t egy kézzel, egz perc alatt;60;
2;Truth;2;Melyik színészt/színésznőt szereted?;;
3;Truth;3;Ki a te titkos crush-od?;;
4;Truth;0;Mi volt az eddigi legundorítób dolog amit tettél?;;
5;Dare;2;Állj kézen két percig;120;
6;Truth;3;Mi a legnagyobb félelmed egy párkapcsolatban?;;
7;Truth;2;Mi volt az eddigi legviccesebb első randid?;;
8;Truth;3;Mi számodra a leg lehangolóbb egy partner-ben?;;
9;Truth;0;Mi a legfurcsább szokásod?;;
10;Truth;3;Hány gyereket szeretnél?;;
11;Truth;3;Milyen neked egy tökéletes első nap?;;
12;Truth;0;Mi a legkínosabb dolog amit rólad tudni kell?;;
13;Truth;2;Mi volt a gyerekkori beceneved?;;
14;Truth;2;Mi a kedvencs filmed?;;
15;Truth;3;Írd le a számodra legrosszabb randit?;;
16;Truth;2;"Ha nem létezne pénz; mit kezdenél az életeddel?";;
17;Truth;2;Mi a kedvenc ételed?;;
18;Truth;2;"Melyik a három legkedveltebb szín; és miért?";;
19;Truth;2;Mi az álommunkád?;;
20;Truth;2;"Ha 3 napig ott ragadnál egy lakatlan szigeten; mit vinnél magaddal?";;
21;Truth;2;Ki a számodra tökéletes személy?;;
22;Truth;2;Apple vagy Android?;;
23;Truth;1;Kedvenc helyed a városban?;;
24;Truth;2;Mi a legnagyobb tehetséged?;;
25;Truth;3;Hiszel a szerelemben első látásra?;;
26;Truth;3;Hiszel a szerelemben?;;
27;Truth;3;Hogy nézne ki az álom-esküvőd?;;
28;Truth;3;Lennél nudista?;;
29;Truth;1;Hogy érzel a kenyér sarkok iránt?;;
30;Truth;1;Meg tudod nyalni az orrod?;;
31;Truth;2;"Ha el tudnál venni egy rossz dolog a világból; mi lenne az?";;
32;Truth;2;Mi a bűnös élvezeted?;;
33;Truth;2;Mi volt a leg exotikusab étel amit ettél?;;
34;Truth;2;Melyik országba élnél?;;
35;Truth;2;"Ha egy dolgot váltosztatnál a testeden; mi lenne az?";;
36;Truth;2;Miről álmodozol a legtöbbet?;;
37;Truth;0;Mi volt a legfurcsább álmod?;;
38;Truth;1;Meg tudod nyalni a könyököd?;;
39;Truth;2;Melyik a kedvenc évszakod?;;
40;Truth;2;Kibírnál egy hetet gyorskaja nélkül?;;
41;Truth;3;Milyen volt az első csók?;;
42;Truth;3;Milyen volt a legrosszab csók?;;
43;Truth;2;Szeretsz edzeni?;;
44;Dare;2;Add elő a kedvencs hírességed védjegyét;;
45;Dare;1;Hunyd le a szemed és küldj egy üzenetet egy random személy-nek;;
46;Dare;2;Fogj egy seprű-t és add elő a legszebb tangó-t;;
47;Dare;2;Adj elő egy 3 perces Stand-Up-ot;180;
48;Dare;2;Break Dance;;
49;Dare;2;Rakj össze egy történetet a tőled jobbra levő tárgyról;;
50;Dare;2;Énekeld el az ABC-t anélkül; hogy kinyisd a szád;;
51;Dare;2;Add elő a legjobb kampányszövegedet;;
52;Dare;1;Ordítsd el az ami most eszedbe jutott;;
53;Dare;1;Rendelj 300 szardiniás pizzát;;
54;Dare;2;Üsd a mellkasodat mind egy gorilla egy percig;60;
55;Dare;2;Az elkövetkező 10 percben mindent énekelve mondj;600;
56;Dare;2;Adj valakinek egy láb-masszázst;;
57;Dare;2;Mond el az ABC-t visszafele 15 másodperc alatt;15;
58;Dare;1;Menj el a szomszéd házhoz és kérj banánt;;
59;Dare;1;Menj oda valakihez és kérj egy ölelést;;
60;Dare;1;A következő 10 percig állitsd át a telefonod nyelvét Kínaira;600;
61;Dare;2;Viselkedj úgy mint a kedvenc Disney karaktered a játék végéig;
62;Dare;2;"Énekeld a Bölcsődal-t beat box-olva";;
63;Dare;2;Adj egy léggitár koncertet;;
64;Dare;2;Írj egy verset a "narancs" és a "szarvas" szavakkal;;
65;Dare;2;Kapcsold ki az övedet a könyököddel;;
66;Dare;0;Mosd meg valaki más fogát;;
67;Dare;3;Twerk-elj egy percig;60;
68;Dare;3;Hastáncolj egy country számra;;
69;Dare;2;Improvizálj egy countrz dalt;;
70;Dare;2;Viselkedj úgy mint egy kutya egy körig;;1
71;Dare;2;Írj egy rövid rap szöveget valamelyik játékosról;;
72;Dare;3;Viselkedj úgy mint Rómeo “Romeo és Julia”-ból (Válaszd ki a Júliád);;
73;Dare;2;Mutasd be egy személy tulajdonságát addig amig egy játékos ki nem találja;;
74;Dare;2;A játékosok válasszanak egy felkiáltást amit neked minden mondatod után mondanod kell 5 percig;300;
75;Dare;1;Játszd el hogy nem érted a saját nyelved a következő körig (találd ki a saját nyelved);;
76;Dare;2;Egy másik játékos nevének betűit felhasználva jellemezd őt;;
77;Dare;2;A következő körig használj jelnyelvet;;
78;Dare;2;A következő körödig fekvőtámaszozz;;1
79;Dare;2;Viselj ujj bajuszt 5 percig;300;
80;Dare;2;Csak a könyököd és a térded segítségével csinálj egy szendvicset;;
81;Dare;1;Írj valamlyen social media posztot az orroddal;;
82;Dare;2;Csinálj egy szelfit egy vécével és posztold ki;;
83;Dare;1;Vegyél fel egy botot a földről a fogaddal;;
84;Truth;3;Mennyire vagy hajlékony?;;
85;Dare;3;fogj egy jégkockát és tartsd rajta az egyik játékoson amíg elolvad;;
87;Truth;2;What is your favourite color?;;
86;Dare;3;Masszírozd meg a tőled jobbra levő hátát;;
88;Truth;2;Mi a kedvenc állatod?;;
89;Truth;2;Mi a kedvenc kajád?;;
90;Truth;2;Mi a kedvencs tantárgyad?;;
91;Truth;2;"Ki a kedvencs tanárod/tanárnőd és miért?";;
92;Truth;2;Mi a kedvencs zene-számod?;;
93;Truth;2;Ki a kedvenc Disney karaktered?;;
94;Truth;2;Melyik a kedvenc TV show-d?;;
95;Truth;2;Mi a háziállatod neve?;;
96;Truth;2;Hányas a cipőméreted?;;
97;Truth;2;Melyik a kedvenc filmed?;;
98;Truth;2;Ki a kedvenc énekesed?;;
99;Truth;2;Szereted a bogarakat?;;
100;Truth;2;Melyik a kedvenc zöldséged?;;
101;Truth;2;15. Kacsa lennél vagy inkább csírke?;;
102;Truth;2;16. Kígyó lennél vagy inkább malac?;;
103;Truth;2;Melyik a kedvenc játékod?;;
104;Truth;2;Szeretsz énekelni?;;
105;Truth;2;Kedvenc dolog amit csinálsz hétvégén?;;
106;Truth;2;Tudsz táncolni?;;
107;Truth;2;Tudsz főzni?;;
108;Truth;2;Beszélsz más nyelven ha igen mutasd be és az angol nem éri?;;
109;Truth;2;Kedvenc időtöltés iskola után?;;
110;Truth;2;Sportolsz valamit?;;
111;Truth;2;Kedvenc sport?;;
112;Truth;2;Milyen állattól félsz?;;
113;Truth;2;Félsz a szörnyektől?;;
114;Truth;2;Van képzeletbeli barátod?;;
115;Truth;2;Ki a legjobb barátod?;;
116;Truth;2;Mikor tanultál meg biciklizni?;;
117;Truth;2;Tudod használni a Pogo Stick-et?;;
118;Truth;2;Mi akarsz lenni ha nagy leszel?;;
119;Truth;2;Mi a kedvenc sportod az olimpián?;;
120;Truth;2;Mi az állam fővárosa, ahol élsz?;;
121;Truth;2;"If you could go anywhere in the world; where would you go?";;
122;Truth;2;"If you a million dollars; what would you do with all of your money?";;
123;Truth;2;"If you could dye your hair any colour; what colour would you pick?";;
124;Truth;2;How many brothers and sisters do you have?;;
125;Truth;2;"If you could be any animal; which one would you be?";;
126;Truth;2;What is your favourite place to go out to eat?;;
127;Dare;2;Do the silliest dance that you can think of;;
128;Dare;2;Act like an old lady or an old man;;
129;Dare;2;"Spin around 10 times; when you get done try to walk in a straight line";;
130;Dare;2;"Do 10 jumping jacks; and then do 10 pushups";;
131;Dare;2;Say the alphabet backwards in 30 seconds;30;
132;Dare;2;Go a whole minute without blinking;;
133;Dare;2;Hold your breath for 10 seconds;10;
134;Dare;2;Act like a chicken for 1 minute;60;
135;Dare;2;Jump up and down until it’s your turn again;;
136;Dare;2;Close your eyes until it’s your turn again;;
137;Dare;2;Sing “Itsy Bitsy Spider” while standing on your head;;
138;Dare;2;Do 5 cartwheels in a row;;
139;Dare;2;Do a backbend;;
140;Dare;2;Act like your favourite Disney person;;
141;Dare;2;Say “banana” after everything you say until it is your turn again;;
142;Dare;2;Make up a poem about the colour blue;;
143;Dare;2;Act like a monkey until it is your turn again;;
144;Dare;2;Do a handstand;;
145;Dare;2;Cross your eyes;;
146;Dare;2;Lick your nose;;
147;Dare;2;Eat a spoonful of peanut butter;;
148;Dare;2;Tickle the person to your right;;
149;Dare;2;Tie your shoe strings together and try to walk to the door and back;;
150;Dare;2;Act like a baby until your next turn;;
151;Dare;2;Moo like a cow as loud as you can;;
152;Dare;2;Do the sprinkler dance;;
153;Dare;2;Act like your favourite superhero;;
154;Dare;2;"Go 10 minutes without saying the words: but; a; the; or";600;
155;Dare;2;Act like a statue until it is your turn again (no talking or moving);;
156;Dare;2;Meow like cat;;
157;Dare;2;Put your leg behind you head;;
158;Dare;2;Sing your favourite song;;
159;Dare;2;Make a fish face;;
160;Dare;2;Pretend that you are an airplane for 2 minutes;120;
161;Dare;2;Dance like a ballerina;;
162;Dare;2;Say the alphabet in a different language;;
163;Dare;2;Do your best hip hop dance;;
164;Dare;2;Try to lick your elbow;;
165;Dare;2;Paint your fingernails with a crayon;;
166;Dare;2;Sit upside down in a chair until your next turn;;
167;Truth;2;How people have you slept with on campus?;;
168;Truth;2;What is your real GPA?;;
169;Truth;2;What is your least favourite frat on campus?;;
170;Truth;2;What did you do on your first night of freshman year?;;
171;Truth;1;Have you ever blacked out from drinking too much?;;
172;Truth;0;What is the craziest thing that you have ever done while drunk?;;
173;Truth;2;Who is the best roommate that you have ever had?;;
174;Truth;1;What is the most annoying thing that your roommate has ever done?;;
175;Truth;1;Did you smoke or drink before college? Or did you start when you got here?;;
176;Truth;2;Would you drop out of school if you were to win the lottery?;;
177;Truth;2;What is the best party that you’ve ever been to?;;
178;Truth;2;How many parties have you thrown at your house?;;
179;Truth;1;What is most amount of shots that you have taken in one night?;;
180;Truth;0;Have you ever thrown up in someone’s car?;;
181;Truth;0;Have you ever wet bed from being too drunk?;;
182;Truth;1;What is the longest you have gone without sleep?;;
183;Truth;2;How many times have you skipped class for no reason?;;
184;Truth;1;Have you ever gotten an STD?;;
185;Truth;1;Have you ever woken up to a stranger in your bed?;;
186;Truth;1;What is the earliest you have ever started drinking in the day?;;
187;Truth;1;Have you ever spent your parent’s money on alcohol?;;
188;Truth;1;How many freshmen have you slept with?;;
189;Truth;1;Have you ever taken money from a freshman?;;
190;Truth;1;Have you ever lied to your parents about if you were in classes or not?;;
191;Truth;2;Have you ever taken money from your roommate?;;
192;Truth;2;What is the most annoying thing your roommate does?;;
193;Truth;2;Have you been in any fights while in school?;;
194;Truth;2;Have you ever had someone write a paper for you?;;
195;Dare;1;Take a shot;;
196;Dare;1;Take a shot off of the person to your right;;
197;Dare;1;Run down the street in only your underwear;;
198;Dare;1;Slap the person to your left on the booty;;
199;Dare;0;Eat a raw egg;;
200;Dare;0;Eat a dry pack of noodles;;
201;Dare;1;Floss the teeth of the person to your left;;
202;Dare;1;Take a shower fully clothed;;
203;Dare;2;Speak like Tony Montana for the next 10 minutes;600;
204;Dare;0;Eat toilet paper;;
205;Dare;1;Snort a line of sugar;;
206;Dare;0;Eat some soap;;
207;Dare;1;Twerk on a handstand;;
208;Dare;1;Let someone give you haircut with their weak hand;;
209;Dare;2;Make a freestyle rap song about each person in the group;;
210;Dare;0;Lick someone’s foot;;
211;Dare;1;"Call someone random; and talk freaky to them";;
212;Dare;1;Email one of your professor’s and tell them you love them;;
213;Dare;0;Lick the wall;;
